X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-31042.193060739,-28815.193131616,0,AcDbEntity:AcDbPoint,,,6137,
-27569.4044809078,-30228.5810308291,0,AcDbEntity:AcDbPoint,,,6138,
-25930.8434175887,-31216.757441816,0,AcDbEntity:AcDbPoint,,,6139,
-24593.4877501667,-33031.3260736193,0,AcDbEntity:AcDbPoint,,,613A,
-23908.8661288055,-35916.7338923855,0,AcDbEntity:AcDbPoint,,,613B,
-40268.6855824389,-27813.560635744,0,AcDbEntity:AcDbPoint,,,613C,
-41955.0700714186,-25825.6810983768,0,AcDbEntity:AcDbPoint,,,613D,
-39942.8291917335,-26065.2466608172,0,AcDbEntity:AcDbPoint,,,613E,
-38671.9401124844,-26616.8047837199,0,AcDbEntity:AcDbPoint,,,613F,
-37350.8842967582,-25758.8255402523,0,AcDbEntity:AcDbPoint,,,6140,
-38146.7446705663,-24487.8075589721,0,AcDbEntity:AcDbPoint,,,6141,
-36318.4609310271,-23596.5435482921,0,AcDbEntity:AcDbPoint,,,6142,
-36912.9335972916,-21903.7025529817,0,AcDbEntity:AcDbPoint,,,6143,
-38931.8972223777,-22189.5797334343,0,AcDbEntity:AcDbPoint,,,6144,
-36315.2459108147,-20544.6465827993,0,AcDbEntity:AcDbPoint,,,6145,
-36230.6441466909,-18450.2764910034,0,AcDbEntity:AcDbPoint,,,6146,
-33749.4339166205,-25719.8788008842,0,AcDbEntity:AcDbPoint,,,6147,
-31812.166450506,-25487.2901784186,0,AcDbEntity:AcDbPoint,,,6148,
-32021.6008991271,-23801.0223015616,0,AcDbEntity:AcDbPoint,,,6149,
-34700.3310092367,-23101.4604806333,0,AcDbEntity:AcDbPoint,,,614A,
-26120.2786803594,-27944.1661249263,0,AcDbEntity:AcDbPoint,,,614B,
-24457.7071754621,-29268.0319150404,0,AcDbEntity:AcDbPoint,,,614C,
-23761.4929331425,-29830.6476797631,0,AcDbEntity:AcDbPoint,,,614D,
-24377.8900654661,-26407.0391583247,0,AcDbEntity:AcDbPoint,,,614E,
-22861.0318878616,-26407.0391583247,0,AcDbEntity:AcDbPoint,,,614F,
-21657.0257563851,-26189.0995553144,0,AcDbEntity:AcDbPoint,,,6150,
-20054.844217518,-27383.0293184735,0,AcDbEntity:AcDbPoint,,,6151,
-20547.8231739773,-28245.3118884336,0,AcDbEntity:AcDbPoint,,,6152,
-20870.077477152,-28567.5661916084,0,AcDbEntity:AcDbPoint,,,6153,
-20528.8625198638,-24293.9729639326,0,AcDbEntity:AcDbPoint,,,6154,
-19609.2670355932,-25999.586949119,0,AcDbEntity:AcDbPoint,,,6155,
-18333.5292468934,-26927.6200277501,0,AcDbEntity:AcDbPoint,,,6156,
-17543.9680178502,-28829.8773580606,0,AcDbEntity:AcDbPoint,,,6157,
-16985.3978031321,-29039.7050589371,0,AcDbEntity:AcDbPoint,,,6158,
-16381.8420920643,-29433.1319153573,0,AcDbEntity:AcDbPoint,,,6159,
-18599.2440948213,-30974.3692317952,0,AcDbEntity:AcDbPoint,,,615A,
-20357.0753340876,-31350.5907236712,0,AcDbEntity:AcDbPoint,,,615B,
-18984.2147077801,-41140.7087942359,0,AcDbEntity:AcDbPoint,,,6169,
-17907.1455485951,-40984.4341564961,0,AcDbEntity:AcDbPoint,,,616A,
-18976.159397912,-40225.5290253279,0,AcDbEntity:AcDbPoint,,,616B,
-19510.5103649732,-38905.4240367657,0,AcDbEntity:AcDbPoint,,,616C,
-20170.1895069664,-37844.7159758923,0,AcDbEntity:AcDbPoint,,,616D,
