"ID";"Year";"global_id";"AdmArea";"District";"Address";"EstimatedindexValue";"PollutionCategory";"PollutionLevel";"geoData";
"6020";"2020";"1088681256";"Юго-Западный административный округ";"район Коньково";"город Москва, Профсоюзная улица, дом 86, строение 1";"3.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.533599568119, 55.652582789551]}";
"6021";"2020";"1088681209";"Юго-Западный административный округ";"Ломоносовский район";"город Москва, улица Гарибальди, дом 4А, строение 1";"3.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.5353590785143, 55.6757862857256]}";
"6022";"2020";"1088681227";"Юго-Западный административный округ";"Обручевский район";"город Москва, Ленинский проспект, дом 97, корпус 4";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.5231059083217, 55.6704009304226]}";
"6023";"2020";"1088680731";"Новомосковский административный округ";"поселение Московский";"город Москва, город Московский, 1-й микрорайон, дом 35";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.3549040140973, 55.6017729135546]}";
"6024";"2020";"1088680620";"Восточный административный округ";"район Восточное Измайлово";"город Москва, 16-я Парковая улица, дом 2А, строение 8";"3.3";"допустимая";"минимальный";"{type=Point, coordinates=[37.8260288574234, 55.7931477062233]}";
"6025";"2020";"1088680621";"Восточный административный округ";"район Восточное Измайлово";"город Москва, Измайловский бульвар, дом 54";"3.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.8098064836855, 55.7963699573957]}";
"6026";"2020";"1088680602";"Восточный административный округ";"район Восточный";"город Москва, Западная улица, дом 9А, строение 1";"1.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.8642360999394, 55.813072089636]}";
"6027";"2020";"1088680603";"Восточный административный округ";"район Восточный";"город Москва, улица 9 Мая, дом 12Б, строение 2";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.8672192206706, 55.8161492992401]}";
"6028";"2020";"1088680553";"Восточный административный округ";"район Гольяново";"город Москва, Щёлковское шоссе, дом 97";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.8339549278503, 55.8146821384016]}";
"6029";"2020";"1088680595";"Восточный административный округ";"район Измайлово";"город Москва, Измайловский проспект, дом 50, строение 9";"5.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.7633777097921, 55.787003798426]}";
"6030";"2020";"1088680600";"Восточный административный округ";"район Северное Измайлово";"город Москва, 16-я Парковая улица, дом 36А";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.8372188327079, 55.8047612393294]}";
"6031";"2020";"1088680605";"Восточный административный округ";"район Соколиная Гора";"город Москва, улица Семёновский Вал, дом 12";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.7140680019643, 55.7764136890499]}";
"6032";"2020";"1088681013";"Центральный административный округ";"Пресненский район";"город Москва, Краснопресненская набережная, дом 3";"1.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.5520467812206, 55.7512361447848]}";
"6033";"2020";"1088680808";"Северный административный округ";"район Аэропорт";"город Москва, Планетная улица, дом 49";"1.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.5384947628669, 55.8059900624437]}";
"6034";"2020";"1088698471";"Северный административный округ";"район Аэропорт";"город Москва, Ленинградский проспект, дом 66, корпус 1, строение 3";"4.4";"допустимая";"минимальный";"{type=Point, coordinates=[37.5260933368786, 55.8032102839553]}";
"6035";"2020";"1088681314";"Южный административный округ";"район Братеево";"город Москва, улица Борисовские Пруды, дом 48, корпус 1";"4.3";"допустимая";"минимальный";"{type=Point, coordinates=[37.774475234799, 55.6434097772632]}";
"6036";"2020";"1088681300";"Южный административный округ";"район Зябликово";"город Москва, Задонский проезд, дом 14, корпус 2";"3.2";"допустимая";"минимальный";"{type=Point, coordinates=[37.7472238340262, 55.6255139535491]}";
