Name;Adress;Description;Year;X;Y
"Стартовая площадка";"Севастопольский проспект, рядом с домом 46, корпусом 7";"";;55.65621;37.5651186
"Стартовая площадка";"Улица Газопровод, владение 7";"";;55.5904384;37.6053798
"Стартовая площадка";"Улица Бехтерева (напротив владения 25/49, квартал 14, дом 14б, корпус 21)";"";;55.6258215;37.64651
"Стартовая площадка";"Велозаводская улица, владение 2";"";;55.7164856;37.6635238
"Стартовая площадка";"Булатниковский проезд, владение 2в, корпус 3";"";;55.5950095;37.6494746
"Стартовая площадка";"Булатниковский проезд, владение 2б";"";;55.5946386;37.6491202
"Стартовая площадка";"Люблинская улица, владение 121/1";"";;55.675098;37.73977
"Стартовая площадка";"Кусковская улица, владение 12";"";;55.7385793;37.7777148
"Стартовая площадка";"Оренбургская улица, владение 26";"";;55.710773;37.8647789
"Стартовая площадка";"3-я Прядильная улица, владение 4";"";;55.7945389;37.7789299
"Стартовая площадка";"3-я Парковая улица, владение 39";"";;55.4964685;37.1374051
"Стартовая площадка";"Широкая улица, дом 10, корпус 1";"";;55.88748;37.6531121
"Развязка на 40-м км МКАД";"";"";;;
"Развязка с проспектом Маршала Жукова";"";"";;;
"Косинская развязка";"";"";;;
"Реконструкция Ботанической улицы";"";"Ботаническая улица находится на северо-востоке столицы и разделяет районы Марфино и Останкинский. Сейчас она двухполосная с двусторонней организацией движения. Для улиц районного значения с организацией движения общественного транспорта две полосы не отвечают нормативам – это предел пропускной способности.";;;
"Многофункциональный жилой комплекс";"Средний Тишинский пер., вл. 5-7 стр. 1/1, вл. 7-9, стр. 1/1, вл. 5/7, стр. 1, 2, вл. 5, стр. 1";"";2021;55.7700523;37.5770896
"Жилой многоквартирный дом с подземной автостоянкой";"Грузинская М. ул., д. 44/30, стр. 1";"";2021;55.7691771;37.5730525
"Многофункциональный жилой комплекс";"Амурская ул., вл. 3";"";2020;55.8093411;37.759565
"Реконструкция (в режиме реставрации с приспособлением к современному использованию) здания ФГБУ "Детский медицинский центр" Управления делами Президента Российской Федерации";"г. Москва, Старопанский пер., д.3, стр.1";"";2022;55.7559999;37.6254844
"Здание многоуровневого гаража с объектами, предназначенными для продажи товаров";"Москва, ул Рождественская, Некрасовка, кв. 1, ГР 10";"";2022;55.7049723;37.9207911
"Стартовая площадка";"Барклая ул., вл. 6";"";;55.7406807;37.5039337
"Стартовая площадка";"Багрицкого ул., вл. 28";"";;55.7163175;37.4365743
"Стартовая площадка";"Судакова ул., вл. 5";"";;55.6726501;37.7425702
"Стартовая площадка";"Совхозная ул., вл. 10А";"";;55.4941227;37.5450067
"Стартовая площадка";"Люблинская ул., вл. 111, стр. 2";"";;55.682118;37.739842
"Стартовая площадка";"Краснодарская ул., вл. 18";"";;55.6770926;37.748369
"Стартовая площадка";"Краснодарская ул., вл. 8";"";;55.6762532;37.7423046
"Стартовая площадка";"Мартеновская ул., вл. 39";"";;55.7471512;37.8085981
"Стартовая площадка";"Проспект Мира, вл. 135А";"";;55.8339521;37.6520843
"Стартовая площадка";"Подвойского ул., д. 12/15, Литвина-Седого ул., д. 13";"";;55.7616076;37.5381233
"Объект культурного наследия федерального значения "Павильон "Геология" (бывший "Лен и другие прядильные культуры"), 1939-1954 гг., архитекторы: Афанасьев К.Н., Павлов Л.Н.", расположенный по адресу: г. Москва, проспект Мира, д. 119, стр. 31. Реставрация и";"г. Москва, Мира просп., д.119, стр.31";"";2020;55.8349827;37.6198738
"Реконструкция с пристройкой лифтов объекта культурного наследия регионального значения корпуса 11 Государственного бюджетного учреждения здравоохранения города Москвы "ГКБ им. С.П. Боткина Департамента здравоохранения города Москвы";"Москва, САО, Беговой, Боткинский 2-й пр. вл. 5 корп. 11";"";2021;55.7814101;37.5536384
"Физкультурно-оздоровительный комплекс";"Москва, СВАО, Лосиноостровский, Анадырский пр. вл. 59";"";2022;55.8803275;37.706431
"ДОУ на 350 мест, район Некрасовка, кв. 13";"Москва, ЮВАО, район Некрасовка";"";2022;55.7540471;37.620405
"Многоэтажный жилой дом в составе комплексной общественно-жилой застройки";"Люблинская ул., вл. 72";"";2028;55.6682141;37.739088
"Школа на 1900 мест";"Москва, САО, Левобережный, Левобережный мкр. 1Б корп. 24";"";2022;55.6021065;37.3520277
