"ID";"ObjectNameOnDoc";"global_id";"ObjectName";"Link";"geodata_center";"geoarea";
"7559";"Охранная (объединенная охранная) зона";"19657490";"";"[]";"{""coordinates"":[37.5784515275783,55.7407654398875],""type"":""Point""}";"";
"7561";"Охранная (объединенная охранная) зона";"19657491";"";"[]";"{""coordinates"":[37.5729710059058,55.7408559924785],""type"":""Point""}";"";
"7562";"Охранная (объединенная охранная) зона";"19657492";"";"[]";"{""coordinates"":[37.567268448656,55.7431622220515],""type"":""Point""}";"";
"7563";"Охранная (объединенная охранная) зона";"19657493";"";"[]";"{""coordinates"":[37.5809608510653,55.7491277042275],""type"":""Point""}";"";
"7564";"Охранная (объединенная охранная) зона";"19657494";"";"[]";"{""coordinates"":[37.5817704100743,55.7517333973295],""type"":""Point""}";"";
"7565";"Охранная (объединенная охранная) зона";"19657495";"";"[]";"{""coordinates"":[37.5794178893427,55.754246875996],""type"":""Point""}";"";
"7566";"Охранная (объединенная охранная) зона";"19657496";"";"[]";"{""coordinates"":[37.5833846999793,55.759133254387],""type"":""Point""}";"";
"7568";"Охранная (объединенная охранная) зона";"19657497";"";"[]";"{""coordinates"":[37.571884656048,55.757691092998],""type"":""Point""}";"";
"7569";"Охранная (объединенная охранная) зона";"19657498";"";"[]";"{""coordinates"":[37.5622690302868,55.7565874240945],""type"":""Point""}";"";
"7570";"Охранная (объединенная охранная) зона";"19657499";"";"[]";"{""coordinates"":[37.5789966958789,55.760367837127],""type"":""Point""}";"";
"7571";"Охранная (объединенная охранная) зона";"19657500";"";"[]";"{""coordinates"":[37.5804037761806,55.762166276402],""type"":""Point""}";"";
"7572";"Охранная (объединенная охранная) зона";"19657501";"";"[]";"{""coordinates"":[37.5771187279309,55.7661990155595],""type"":""Point""}";"";
"7573";"Охранная (объединенная охранная) зона";"19657502";"";"[]";"{""coordinates"":[37.5771187279309,55.7661990155595],""type"":""Point""}";"";
"9507";"Охранная (объединенная охранная) зона";"19657503";"";"[]";"{""coordinates"":[37.5711082596442,55.7641268678525],""type"":""Point""}";"";
"9508";"Охранная (объединенная охранная) зона";"19657504";"";"[]";"{""coordinates"":[37.5701126691201,55.767465074189],""type"":""Point""}";"";
"7574";"Охранная (объединенная охранная) зона";"19657505";"";"[]";"{""coordinates"":[37.5521058767402,55.753620182642],""type"":""Point""}";"";
"7575";"Охранная (объединенная охранная) зона";"19657506";"";"[]";"{""coordinates"":[37.5488130715501,55.768250154233],""type"":""Point""}";"";
"7576";"Охранная (объединенная охранная) зона";"19657507";"";"[]";"{""coordinates"":[37.5977067053328,55.773826514169],""type"":""Point""}";"";
"7577";"Охранная (объединенная охранная) зона";"19657508";"";"[]";"{""coordinates"":[37.6025529052332,55.7762393803545],""type"":""Point""}";"";
"7578";"Охранная (объединенная охранная) зона";"19657509";"";"[]";"{""coordinates"":[37.6072095808289,55.7739858295135],""type"":""Point""}";"";
"7579";"Охранная (объединенная охранная) зона";"19657510";"";"[]";"{""coordinates"":[37.6109659587536,55.775271760807],""type"":""Point""}";"";
"7580";"Охранная (объединенная охранная) зона";"19657511";"";"[]";"{""coordinates"":[37.6153423683676,55.774769154907],""type"":""Point""}";"";
"7581";"Охранная (объединенная охранная) зона";"19657512";"";"[]";"{""coordinates"":[37.6184619348611,55.7803602411015],""type"":""Point""}";"";
"7582";"Охранная (объединенная охранная) зона";"19657513";"";"[]";"{""coordinates"":[37.6259788180695,55.7767841428865],""type"":""Point""}";"";
"7583";"Охранная (объединенная охранная) зона";"19657514";"";"[]";"{""coordinates"":[37.6301094118946,55.7767098057585],""type"":""Point""}";"";
"7584";"Охранная (объединенная охранная) зона";"19657515";"";"[]";"{""coordinates"":[37.6344920670463,55.774508906551],""type"":""Point""}";"";
"7585";"Охранная (объединенная охранная) зона";"19657516";"";"[]";"{""coordinates"":[37.5897243096413,55.7750332256],""type"":""Point""}";"";
"7586";"Охранная (объединенная охранная) зона";"19657517";"";"[]";"{""coordinates"":[37.5822977875869,55.7778093908385],""type"":""Point""}";"";
"7587";"Охранная (объединенная охранная) зона";"19657518";"";"[]";"{""coordinates"":[37.5951949077384,55.7780580224485],""type"":""Point""}";"";
"7588";"Охранная (объединенная охранная) зона";"19657519";"";"[]";"{""coordinates"":[37.6047855152538,55.778572352123],""type"":""Point""}";"";
"7589";"Охранная (объединенная охранная) зона";"19657520";"";"[]";"{""coordinates"":[37.6049645989488,55.780760111934],""type"":""Point""}";"";
"7590";"Охранная (объединенная охранная) зона";"19657521";"";"[]";"{""coordinates"":[37.602548835318,55.781368083527],""type"":""Point""}";"";
"7591";"Охранная (объединенная охранная) зона";"19657522";"";"[]";"{""coordinates"":[37.6298028280726,55.7785185346645],""type"":""Point""}";"";
"7592";"Охранная (объединенная охранная) зона";"19657523";"";"[]";"{""coordinates"":[37.6350414061494,55.7785653083345],""type"":""Point""}";"";
"7593";"Охранная (объединенная охранная) зона";"19657524";"";"[]";"{""coordinates"":[37.5871434905309,55.7821414266015],""type"":""Point""}";"";
"7594";"Охранная (объединенная охранная) зона";"19657525";"";"[]";"{""coordinates"":[37.5939766859663,55.783620792588],""type"":""Point""}";"";
"7595";"Охранная (объединенная охранная) зона";"19657526";"";"[]";"{""coordinates"":[37.5976186253107,55.78443142703],""type"":""Point""}";"";
"7596";"Охранная (объединенная охранная) зона";"19657527";"";"[]";"{""coordinates"":[37.6314329066044,55.780904843514],""type"":""Point""}";"";
"7662";"Зона охраняемого культурного слоя";"19657528";"";"[]";"{""coordinates"":[37.6427560113937,55.8519985262465],""type"":""Point""}";"";
"7663";"Зона охраняемого культурного слоя";"19657529";"";"[]";"{""coordinates"":[37.6335560063195,55.874970064904],""type"":""Point""}";"";
"7664";"Зона охраняемого культурного слоя";"19657530";"";"[]";"{""coordinates"":[37.7505855684265,55.7927422979695],""type"":""Point""}";"";
"7665";"Зона охраняемого культурного слоя";"19657531";"";"[]";"{""coordinates"":[37.7941222676132,55.6370725400475],""type"":""Point""}";"";
"7666";"Охранная (объединенная охранная) зона";"19657532";"";"[]";"{""coordinates"":[37.6676877340596,55.784613917517],""type"":""Point""}";"";
"7667";"Охранная (объединенная охранная) зона";"19657533";"";"[]";"{""coordinates"":[37.6695909665286,55.7769141658535],""type"":""Point""}";"";
"7668";"Охранная (объединенная охранная) зона";"19657534";"";"[]";"{""coordinates"":[37.6610075571277,55.7904977242695],""type"":""Point""}";"";
"7669";"Охранная (объединенная охранная) зона";"19657535";"";"[]";"{""coordinates"":[37.6673936114891,55.7889488512965],""type"":""Point""}";"";
"7670";"Охранная (объединенная охранная) зона";"19657536";"";"[]";"{""coordinates"":[37.6752517920948,55.790184058322],""type"":""Point""}";"";
"7671";"Охранная (объединенная охранная) зона";"19657537";"";"[]";"{""coordinates"":[37.6886511411542,55.79226868988],""type"":""Point""}";"";
"7672";"Охранная (объединенная охранная) зона";"19657538";"";"[]";"{""coordinates"":[37.6921942554475,55.787492920535],""type"":""Point""}";"";
"7673";"Охранная (объединенная охранная) зона";"19657539";"";"[]";"{""coordinates"":[37.6952182474304,55.7829627082965],""type"":""Point""}";"";
"7674";"Охранная (объединенная охранная) зона";"19657540";"";"[]";"{""coordinates"":[37.6916285841974,55.796622165099],""type"":""Point""}";"";
"7675";"Охранная (объединенная охранная) зона";"19657541";"";"[]";"{""coordinates"":[37.6955365615377,55.7957402697805],""type"":""Point""}";"";
"7676";"Охранная (объединенная охранная) зона";"19657542";"";"[]";"{""coordinates"":[37.7001438412405,55.792861541566],""type"":""Point""}";"";
"7677";"Охранная (объединенная охранная) зона";"19657543";"";"[]";"{""coordinates"":[37.7056138453886,55.787091409896],""type"":""Point""}";"";
"7678";"Охранная (объединенная охранная) зона";"19657544";"";"[]";"{""coordinates"":[37.7111091008585,55.7851865619315],""type"":""Point""}";"";
"7741";"Охранная (объединенная охранная) зона";"19657545";"";"[]";"{""coordinates"":[37.6426870946604,55.762538563845],""type"":""Point""}";"";
"7742";"Охранная (объединенная охранная) зона";"19657546";"";"[]";"{""coordinates"":[37.6427026948298,55.766829047503],""type"":""Point""}";"";
"7743";"Охранная (объединенная охранная) зона";"19657547";"";"[]";"{""coordinates"":[37.6556109600481,55.7604667016555],""type"":""Point""}";"";
"7744";"Охранная (объединенная охранная) зона";"19657548";"";"[]";"{""coordinates"":[37.6351352554681,55.7532611435095],""type"":""Point""}";"";
"7745";"Охранная (объединенная охранная) зона";"19657549";"";"[]";"{""coordinates"":[37.6420726647304,55.755203158628],""type"":""Point""}";"";
"7746";"Охранная (объединенная охранная) зона";"19657550";"";"[]";"{""coordinates"":[37.6481106761526,55.755610559552],""type"":""Point""}";"";
"7747";"Охранная (объединенная охранная) зона";"19657551";"";"[]";"{""coordinates"":[37.6533790145503,55.7579937187735],""type"":""Point""}";"";
"7748";"Охранная (объединенная охранная) зона";"19657552";"";"[]";"{""coordinates"":[37.6531353181901,55.75517192067],""type"":""Point""}";"";
"7749";"Охранная (объединенная охранная) зона";"19657553";"";"[]";"{""coordinates"":[37.6434656289316,55.7507122302125],""type"":""Point""}";"";
"7750";"Охранная (объединенная охранная) зона";"19657554";"";"[]";"{""coordinates"":[37.6523687795214,55.752746040215],""type"":""Point""}";"";
"7751";"Охранная (объединенная охранная) зона";"19657555";"";"[]";"{""coordinates"":[37.6469871819125,55.744798122814],""type"":""Point""}";"";
"7752";"Охранная (объединенная охранная) зона";"19657556";"";"[]";"{""coordinates"":[37.6542266902087,55.74807568697],""type"":""Point""}";"";
"7753";"Охранная (объединенная охранная) зона";"19657557";"";"[]";"{""coordinates"":[37.6542409501682,55.7457937729885],""type"":""Point""}";"";
"7754";"Охранная (объединенная охранная) зона";"19657558";"";"[]";"{""coordinates"":[37.6469322326301,55.7414489433005],""type"":""Point""}";"";
"7755";"Охранная (объединенная охранная) зона";"19657559";"";"[]";"{""coordinates"":[37.6474559830081,55.739430591625],""type"":""Point""}";"";
"7756";"Охранная (объединенная охранная) зона";"19657560";"";"[]";"{""coordinates"":[37.6291675713971,55.747615277494],""type"":""Point""}";"";
"7757";"Охранная (объединенная охранная) зона";"19657561";"";"[]";"{""coordinates"":[37.6325878414861,55.7443115709885],""type"":""Point""}";"";
"7758";"Охранная (объединенная охранная) зона";"19657562";"";"[]";"{""coordinates"":[37.6303693617437,55.7400217078875],""type"":""Point""}";"";
"7759";"Охранная (объединенная охранная) зона";"19657563";"";"[]";"{""coordinates"":[37.6336375735033,55.740080716881],""type"":""Point""}";"";
"7760";"Охранная (объединенная охранная) зона";"19657564";"";"[]";"{""coordinates"":[37.6327230015389,55.739158620295],""type"":""Point""}";"";
"7761";"Охранная (объединенная охранная) зона";"19657565";"";"[]";"{""coordinates"":[37.630963108306,55.7382152506785],""type"":""Point""}";"";
"7762";"Охранная (объединенная охранная) зона";"19657566";"";"[]";"{""coordinates"":[37.6327537638144,55.737888550191],""type"":""Point""}";"";
"7763";"Охранная (объединенная охранная) зона";"19657567";"";"[]";"{""coordinates"":[37.6309870457384,55.7341851320545],""type"":""Point""}";"";
"7764";"Охранная (объединенная охранная) зона";"19657568";"";"[]";"{""coordinates"":[37.6368670466632,55.733847957632],""type"":""Point""}";"";
"7765";"Охранная (объединенная охранная) зона";"19657569";"";"[]";"{""coordinates"":[37.6401804618461,55.7343073066475],""type"":""Point""}";"";
"7766";"Охранная (объединенная охранная) зона";"19657570";"";"[]";"{""coordinates"":[37.6310415565197,55.7320969297365],""type"":""Point""}";"";
"7767";"Охранная (объединенная охранная) зона";"19657571";"";"[]";"{""coordinates"":[37.6281751609158,55.735789687352],""type"":""Point""}";"";
"7679";"Охранная (объединенная охранная) зона";"19657572";"";"[]";"{""coordinates"":[37.707491407172,55.794532767028],""type"":""Point""}";"";
"7680";"Охранная (объединенная охранная) зона";"19657573";"";"[]";"{""coordinates"":[37.710690568139,55.7931668645695],""type"":""Point""}";"";
"7681";"Охранная (объединенная охранная) зона";"19657574";"";"[]";"{""coordinates"":[37.711432515748,55.7900500745495],""type"":""Point""}";"";
"7682";"Охранная (объединенная охранная) зона";"19657575";"";"[]";"{""coordinates"":[37.7194868657152,55.791522142795],""type"":""Point""}";"";
"7683";"Охранная (объединенная охранная) зона";"19657576";"";"[]";"{""coordinates"":[37.716196865591,55.7849306966775],""type"":""Point""}";"";
"7684";"Охранная (объединенная охранная) зона";"19657577";"";"[]";"{""coordinates"":[37.6616753007833,55.7682096758165],""type"":""Point""}";"";
"7685";"Охранная (объединенная охранная) зона";"19657578";"";"[]";"{""coordinates"":[37.6587203517572,55.759065512316],""type"":""Point""}";"";
"7686";"Охранная (объединенная охранная) зона";"19657579";"";"[]";"{""coordinates"":[37.6584609792641,55.7562705707685],""type"":""Point""}";"";
